issue_type,category,filename,gender,source,url,note,extra
legacy_source,clothes,esqueleto_azul.png,unisex,avatares/clothes/esqueleto_azul.png,/static/assets/clothes/unisex/esqueleto_azul.png,legacy avatares/ path,
legacy_source,clothes,falda_miku.png,unisex,avatares/clothes/falda_miku.png,/static/assets/clothes/unisex/falda_miku.png,legacy avatares/ path,
legacy_source,clothes,falda_2.png,unisex,avatares/clothes/falda_2.png,/static/assets/clothes/unisex/falda_2.png,legacy avatares/ path,
legacy_source,clothes,camisa_cafe.png,unisex,avatares/clothes/camisa_cafe.png,/static/assets/clothes/unisex/camisa_cafe.png,legacy avatares/ path,
legacy_source,clothes,camisa_colombia.png,unisex,avatares/clothes/camisa_colombia.png,/static/assets/clothes/unisex/camisa_colombia.png,legacy avatares/ path,
legacy_source,clothes,real_madrid.png,unisex,avatares/clothes/real_madrid.png,/static/assets/clothes/unisex/real_madrid.png,legacy avatares/ path,
legacy_source,clothes,zapatos_rosados.png,unisex,avatares/clothes/zapatos_rosados.png,/static/assets/clothes/unisex/zapatos_rosados.png,legacy avatares/ path,
legacy_source,clothes,calentadoras.png,unisex,avatares/clothes/calentadoras.png,/static/assets/clothes/unisex/calentadoras.png,legacy avatares/ path,
legacy_source,clothes,pantalon_cafe.png,unisex,avatares/clothes/pantalon_cafe.png,/static/assets/clothes/unisex/pantalon_cafe.png,legacy avatares/ path,
legacy_source,clothes,camisa_elegante_blanca.png,unisex,avatares/clothes/camisa_elegante_blanca.png,/static/assets/clothes/unisex/camisa_elegante_blanca.png,legacy avatares/ path,
legacy_source,clothes,falda_blanca.png,unisex,avatares/clothes/falda_blanca.png,/static/assets/clothes/unisex/falda_blanca.png,legacy avatares/ path,
legacy_source,hair,hair_6.png,unisex,avatares/hair/hair_6.png,/static/assets/hair/unisex/hair_6.png,legacy avatares/ path,
legacy_source,hair,hair_5.png,unisex,avatares/hair/hair_5.png,/static/assets/hair/unisex/hair_5.png,legacy avatares/ path,
legacy_source,hair,hair_4.png,unisex,avatares/hair/hair_4.png,/static/assets/hair/unisex/hair_4.png,legacy avatares/ path,
legacy_source,hair,hair_7.png,unisex,avatares/hair/hair_7.png,/static/assets/hair/unisex/hair_7.png,legacy avatares/ path,
legacy_source,hair,hair_2.png,unisex,avatares/hair/hair_2.png,/static/assets/hair/unisex/hair_2.png,legacy avatares/ path,
legacy_source,hair,hair_1.png,unisex,avatares/hair/hair_1.png,/static/assets/hair/unisex/hair_1.png,legacy avatares/ path,
legacy_source,hair,hair_3.png,unisex,avatares/hair/hair_3.png,/static/assets/hair/unisex/hair_3.png,legacy avatares/ path,
legacy_source,accessories,collar_1.png,unisex,avatares/accessories/collar_1.png,/static/assets/accessories/unisex/collar_1.png,legacy avatares/ path,
legacy_source,accessories,manilla_2.png,male,avatares/accessories/manilla_2.png,/static/assets/accessories/male/manilla_2.png,legacy avatares/ path,
legacy_source,accessories,moño.png,unisex,avatares/accessories/moño.png,/static/assets/accessories/unisex/moño.png,legacy avatares/ path,
legacy_source,accessories,gafas_2.png,unisex,avatares/accessories/gafas_2.png,/static/assets/accessories/unisex/gafas_2.png,legacy avatares/ path,
legacy_source,accessories,orejas_gato.png,unisex,avatares/accessories/orejas_gato.png,/static/assets/accessories/unisex/orejas_gato.png,legacy avatares/ path,
legacy_source,makeup,rubor.png,unisex,avatares/makeup/rubor.png,/static/assets/makeup/unisex/rubor.png,legacy avatares/ path,
legacy_source,makeup,ahumado_morado.png,unisex,avatares/makeup/ahumado_morado.png,/static/assets/makeup/unisex/ahumado_morado.png,legacy avatares/ path,
legacy_source,makeup,ahumado_negro.png,unisex,avatares/makeup/ahumado_negro.png,/static/assets/makeup/unisex/ahumado_negro.png,legacy avatares/ path,
legacy_source,makeup,remolino_rubor.png,unisex,avatares/makeup/remolino_rubor.png,/static/assets/makeup/unisex/remolino_rubor.png,legacy avatares/ path,
legacy_source,mouth,boca_4.png,unisex,avatares/mounth/boca_4.png,/static/assets/mouth/unisex/boca_4.png,legacy avatares/ path,
legacy_source,mouth,boca_3.png,unisex,avatares/mounth/boca_3.png,/static/assets/mouth/unisex/boca_3.png,legacy avatares/ path,
