ts,sha256,keep_path,delete_path,action,backup_path,error
2025-11-14T01:13:29.139841,4c4368f0fbefe32f229140347b2de557a8656a5f04b6c36374957d4e869fdbfc,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/female/Camisa_negra_mujer.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/Camisa_negra_mujer.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/Camisa_negra_mujer.png,
2025-11-14T01:13:29.140074,528da6c113b241682ba3b959fa8e438ba10b885b1b971e3addd846ef43d514c5,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/female/falda_miku.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/falda_miku.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/falda_miku.png,
2025-11-14T01:13:29.140265,52cbc646e51e75102d5504464820422e14ebd80f42880c1695889f378f75093b,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/female/orejas_gato.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/male/orejas_gato.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/male/orejas_gato.png,
2025-11-14T01:13:29.140608,577ff089a2e1945f9f4b30f3ca403f2cb91ee0d77a599291497d8a6fdbacffe3,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/female/esqueleto_blanco_mujer.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/esqueleto_blanco_mujer.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/esqueleto_blanco_mujer.png,
2025-11-14T01:13:29.140791,5df68f0543c0e73a053c74a07c7f06fac05008cf8cec5dfaa9756d59682fbc86,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/eyes/female/ojos_4.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/eyes/male/ojos_4.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/eyes/male/ojos_4.png,
2025-11-14T01:13:29.140981,65854d34bc00d648fedbf50b795cbd463f57f8aeffbfe2c540508dd5510bb0a4,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/female/Camisa_roja_mujer.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/Camisa_roja_mujer.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/Camisa_roja_mujer.png,
2025-11-14T01:13:29.141147,670c3f36c563286928f08ad1c56d9f65559025c2cdf0f141854e4da979af77ab,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/female/camisa_elegante_mujer.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/camisa_elegante_mujer.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/camisa_elegante_mujer.png,
2025-11-14T01:13:29.141319,6906e373a93a75df67ab782125c354243b168b6f7583825e1df5a2dcd623aa46,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/female/vestido.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/vestido.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/vestido.png,
2025-11-14T01:13:29.141479,6ec266884e30ed9113ebdbf8c1145d683b704104804cb39dc9a481573b1cb36a,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/female/Medias_maya.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/Medias_maya.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/Medias_maya.png,
2025-11-14T01:13:29.141643,70cd1b2ed8a122c1e34f13dd9fec02ee651d8e355985d721a979a00a45ee28a7,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/female/falda_blanca.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/falda_blanca.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/falda_blanca.png,
2025-11-14T01:13:29.141804,72fcf91ab1a15b717f32e355ba99f8ff45685170ded44d61068d07fca5efef08,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/hair/female/hair_3.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/hair/male/hair_3.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/hair/male/hair_3.png,
2025-11-14T01:13:29.141994,74f4b580c492ea8dfb7aff5944f902df36f16db95f1ceebe1c5686a2984d099a,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/hair/female/hair_2.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/hair/male/hair_2.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/hair/male/hair_2.png,
2025-11-14T01:13:29.142164,7a4c1916852b9198211b3c3856e970413eb17357a13a0cd483accf0b39a6c3d8,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/makeup/female/ahumado_morado.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/makeup/male/ahumado_morado.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/makeup/male/ahumado_morado.png,
2025-11-14T01:13:29.142337,7b15885b76ef3f65e5afd9f0ca01cdfe9fe5dbac91c36255f878c818a7cf84ce,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/female/Camisa_verde_mujer.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/Camisa_verde_mujer.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/clothes/male/Camisa_verde_mujer.png,
2025-11-14T01:13:29.142512,83ad56efa9cfbdca50307794468b3849b92b220a3a364daf7bf4a1d575184bbc,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/female/manilla_2.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/male/manilla_2.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/male/manilla_2.png,
2025-11-14T01:13:29.142685,849891404a60a72c5e1a0b1425008844e46761489e6014109690eda02406d0e9,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/base/167 sin título_20250922233650.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/base/base-woman/167 sin título_20250922233650.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/base/base-woman/167 sin título_20250922233650.png,
2025-11-14T01:13:29.142971,85f4afaf4422993a73e4a5f446537b875e356b5772e0cfe5595ac4f8aa1a7ed8,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/unisex/manilla_1.png,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/male/manilla_1.png,moved_and_symlink,/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/scripts/reports/backups/20251114_011329/run/media/arch/Storage/SENA/Proyecto-Formativo/Acadify/backend/static/assets/accessories/male/manilla_1.png,
