id,filename,sha256,canonical_path
cd84633c-2628-453d-8008-b4a4ecf1f467,hair/unisex/hair_4.png,edfefa561221008fcad0f3c25b02318a94d63b0ca21af66aa2197f4b00009804,
d9fb1d73-71d7-40e5-82f4-fe1208c8fcb7,hair/unisex/hair_2.png,a7d7e34173d4b6f38967c93cff3f64ca24552a71a3fb904e3f3cba4f97279fe3,
5b401ea7-5027-4eba-8559-2bd0a793d943,hair/unisex/hair_1.png,753a406ccc40ea16429e678dae7f7fb4576a67e87ceeecdf962372b0bca27472,
d7fd2e75-4c4e-4983-8a38-cac0fd8ed353,hair/unisex/hair_3.png,bf6871a47e2fa9837dd560fcf4d189ddd5f7a225b4a8ddeb7ac4f24c122b7069,
7a1ff9cb-d7c1-44f3-9382-bd2b8067197a,makeup/male/remolino_rubor.png,17278c935ec704b35f6cc409b9d96e52ea5662c18b2e29b740c466df76e4efdc,makeup/female/remolino_rubor.png
e0061577-26d8-47de-b5e5-64c88a83a1a6,base/base-man/167 sin título_20250922233558.png,2ab8129ff5694d8e1fe506adfb2b7dbae10ff0a76d2cd9ad41e5f49dc599f027,base/167 sin título_20250922233558.png
2a2ddd41-bcac-4cc4-91ad-c089de48b1c7,makeup/male/ahumado_negro.png,2b6248a3af663e89f6fa7bf0515463efbdb4d15f92e93ef4aa382aa630981964,makeup/female/ahumado_negro.png
26acd6e3-aa9e-427a-acb1-e75d6e81e96e,eyes/male/ojos_5.png,309565c9b8653ccfd70e4aafdefde31dc03fe474867e7d9a8ee3725e97c60603,eyes/female/ojos_5.png
65eaaeea-ec2d-4213-a02d-a4ab49832d6c,hair/male/hair_1.png,35eb04213762d7c64f78e7d09935b3aba7a93b6655023510627a15c54272c107,hair/female/hair_1.png
1c762a0a-6328-4788-b636-3c8530f8bd25,accessories/male/orejas_gato.png,52cbc646e51e75102d5504464820422e14ebd80f42880c1695889f378f75093b,accessories/female/orejas_gato.png
f4c04af6-8857-4540-be9a-db5a88ac00ad,eyes/male/ojos_4.png,5df68f0543c0e73a053c74a07c7f06fac05008cf8cec5dfaa9756d59682fbc86,eyes/female/ojos_4.png
